Event Name,Event Date,Event Time,Event Location,Event URL
"Prospect Park Tours with Turnstile Tours","November 1","10:30 am - 12:30 pm","Prospect Park","https://www.prospectpark.org/event/prospect-park-tours-with-turnstile-tours-4/2025-11-01/"
"Voices of Lunáapeew/Lenape","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/voices-of-lunaapeew-lenape-2/2025-11-01/"
"ReImagine Lefferts Open Hours","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/reimagine-lefferts-open-hours-9-3/2025-11-01/"
"Haunted Carousel","October 31","12:00 pm - 5:00 pm","Carousel","https://www.prospectpark.org/event/haunted-carousel-3/2025-10-31/"
"Harvest Fest + First Skate Weekend at Lakeside!","October 31","3:00 pm - 6:00 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside/2025-10-31/"
"FIDO Coffee Bark","November 1","7:30 am - 8:30 am","Long Meadow","https://www.prospectpark.org/event/fido-coffee-bark-2/2025-11-01/"
"Greenmarket at Grand Army Plaza","November 1","8:00 am - 4:00 pm","Grand Army Plaza","https://www.prospectpark.org/event/greenmarket-at-grand-army-plaza-2/2025-11-01/"
"Harvest Fest + First Skate Weekend at Lakeside!","November 1","9:00 am - 8:50 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside-2/2025-11-01/"
"Introduction to Birdwatching Outings","November 1","10:00 am - 12:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/introduction-to-birdwatching-outings-3/2025-11-01/"
"October Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/october-weekend-nature-exploration/2025-11-01/"
"November Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/november-weekend-nature-exploration/2025-11-01/"
"Spooktober! At Prospect Park Zoo","November 1","10:00 am - 5:30 pm","Points of Interest—Prospect Park Zoo","https://www.prospectpark.org/event/spooktober-at-prospect-park-zoo/2025-11-01/"
"Prospect Park Tours with Turnstile Tours","November 1","10:30 am - 12:30 pm","Prospect Park","https://www.prospectpark.org/event/prospect-park-tours-with-turnstile-tours-4/2025-11-01/"
"Voices of Lunáapeew/Lenape","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/voices-of-lunaapeew-lenape-2/2025-11-01/"
"ReImagine Lefferts Open Hours","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/reimagine-lefferts-open-hours-9-3/2025-11-01/"
